   1.402447002500000E+00   2.964994658500000E-01   9.751401446400000E-02   1.709459531200000E-02   2.794829602000000E-01   0.000000000000000E+00
   1.402452348700000E+00   2.964881259500000E-01   9.751273352900000E-02   1.709391350100000E-02   2.794714184800000E-01  -2.948107752700000E-05
   1.402448796600000E+00   2.964886496600000E-01   9.751273273699999E-02   1.709390093600000E-02   2.794719751300000E-01  -2.486147236500000E-05
   1.402441692200000E+00   2.964896972800000E-01   9.751273117200000E-02   1.709387581400000E-02   2.794730886200000E-01  -1.562151348100000E-05
   1.402427484100000E+00   2.964917922500000E-01   9.751272801999999E-02   1.709382556000000E-02   2.794753153200000E-01   2.857339257900000E-06
   1.402399067900000E+00   2.964959819000000E-01   9.751272168600000E-02   1.709372503600000E-02   2.794797684200000E-01   3.981459381600000E-05
   1.402342235500000E+00   2.965043612300000E-01   9.751270902400000E-02   1.709352399300000E-02   2.794886746200000E-01   1.137306901400000E-04
   1.402228570500000E+00   2.965211201200000E-01   9.751268373900000E-02   1.709312193500000E-02   2.795064871700000E-01   2.615695039100000E-04
   1.402001241100000E+00   2.965546373100000E-01   9.751263316900000E-02   1.709231784700000E-02   2.795421112400000E-01   5.572686418400000E-04
   1.401678331600000E+00   2.966022457100000E-01   9.751256135100000E-02   1.709117575000000E-02   2.795927113700000E-01   9.773455115600000E-04
   1.401355424000000E+00   2.966498524700000E-01   9.751248953400000E-02   1.709003373200000E-02   2.796433087000000E-01   1.397480063500000E-03
   1.401032518600000E+00   2.966974575300000E-01   9.751241771100000E-02   1.708889178800000E-02   2.796939031700000E-01   1.817672109700000E-03
   1.400709615100000E+00   2.967450608900000E-01   9.751234588400000E-02   1.708774992000000E-02   2.797444947900000E-01   2.237921794800000E-03
   1.400386713300000E+00   2.967926628100000E-01   9.751227407599999E-02   1.708660813900000E-02   2.797950838100000E-01   2.658229946600000E-03
   1.400063813300000E+00   2.968402631900000E-01   9.751220228099999E-02   1.708546644200000E-02   2.798456701400000E-01   3.078596213300000E-03
   1.399740915600000E+00   2.968878617000000E-01   9.751213046399999E-02   1.708432481200000E-02   2.798962534300000E-01   3.499019510500000E-03
   1.399418019400000E+00   2.969354588600000E-01   9.751205868000000E-02   1.708318327600000E-02   2.799468342200000E-01   3.919501633200000E-03
   1.399095125200000E+00   2.969830544000000E-01   9.751198690000000E-02   1.708204182000000E-02   2.799974122300000E-01   4.340041673500000E-03
   1.398772233300000E+00   2.970306479700000E-01   9.751191509100000E-02   1.708090042700000E-02   2.800479871200000E-01   4.760638531100000E-03
   1.398449342600000E+00   2.970782404700000E-01   9.751184334200000E-02   1.707975914200000E-02   2.800985597900000E-01   5.181295180400000E-03
   1.398126454300000E+00   2.971258308400000E-01   9.751177154800000E-02   1.707861791100000E-02   2.801491291600000E-01   5.602008147600000E-03
   1.397803567800000E+00   2.971734199100000E-01   9.751169979500000E-02   1.707747678000000E-02   2.801996960900000E-01   6.022780044100000E-03
   1.397480682900000E+00   2.972210073100000E-01   9.751162804200000E-02   1.707633572500000E-02   2.802502601900000E-01   6.443609999400000E-03
   1.397157800600000E+00   2.972685927000000E-01   9.751155626100000E-02   1.707519473400000E-02   2.803008211300000E-01   6.864496556500000E-03
   1.396834919600000E+00   2.973161768700000E-01   9.751148452400001E-02   1.707405384300000E-02   2.803513797000000E-01   7.285442635900000E-03
   1.396512040500000E+00   2.973637593400000E-01   9.751141278900000E-02   1.707291303000000E-02   2.804019354100000E-01   7.706446504000000E-03
   1.396189163700000E+00   2.974113399200000E-01   9.751134103799999E-02   1.707177228800000E-02   2.804524880900000E-01   8.127507538700000E-03
   1.395866288300000E+00   2.974589190800000E-01   9.751126931100000E-02   1.707063163500000E-02   2.805030381800000E-01   8.548627479300000E-03
   1.395543415300000E+00   2.975064963100000E-01   9.751119756800000E-02   1.706949105100000E-02   2.805535852000000E-01   8.969804430300000E-03
   1.395220543700000E+00   2.975540722700000E-01   9.751112586900000E-02   1.706835056700000E-02   2.806041298100000E-01   9.391040785200000E-03
   1.394897674500000E+00   2.976016461300000E-01   9.751105413199999E-02   1.706721014100000E-02   2.806546711500000E-01   9.812333693100000E-03
   1.394574807200000E+00   2.976492183400000E-01   9.751098240500000E-02   1.706606979900000E-02   2.807052097000000E-01   1.023368466700000E-02
   1.394251941300000E+00   2.976967892000000E-01   9.751091071400000E-02   1.706492955100000E-02   2.807557457500000E-01   1.065509487500000E-02
   1.393929077500000E+00   2.977443582200000E-01   9.751083901400000E-02   1.706378937700000E-02   2.808062788100000E-01   1.107656260300000E-02
   1.393606216100000E+00   2.977919252800000E-01   9.751076729499999E-02   1.706264927200000E-02   2.808568087500000E-01   1.149808730200000E-02
   1.393283356100000E+00   2.978394909100000E-01   9.751069560500000E-02   1.706150925800000E-02   2.809073361300000E-01   1.191967107200000E-02
   1.392960498300000E+00   2.978870546600000E-01   9.751062390500000E-02   1.706036931600000E-02   2.809578604700000E-01   1.234131225700000E-02
   1.392637641900000E+00   2.979346170900000E-01   9.751055224500001E-02   1.705922947200000E-02   2.810083823500000E-01   1.276301282400000E-02
   1.392314788000000E+00   2.979821773300000E-01   9.751048054500000E-02   1.705808968600000E-02   2.810589008800000E-01   1.318476979600000E-02
   1.391991935600000E+00   2.980297362200000E-01   9.751040888699999E-02   1.705694999900000E-02   2.811094169300000E-01   1.360658601600000E-02
   1.391669085300000E+00   2.980772932300000E-01   9.751033721800000E-02   1.705581038300000E-02   2.811599299400000E-01   1.402845973100000E-02
