   3.076242752600000E+01   1.682266132800000E-01   9.940932632000000E-02   4.624338796500000E-02   1.275912549000000E-01   2.685985981200000E+00   0.000000000000000E+00
   3.076110056500000E+01   1.682320474000000E-01   9.983938853200000E-02   4.654451207000000E-02   1.289116278200000E-01   2.686010326400000E+00   0.000000000000000E+00
   3.075957390500000E+01   1.682382992200000E-01   1.000408521900000E-01   4.668717666100000E-02   1.295318187900000E-01   2.686038349700000E+00   0.000000000000000E+00
   3.075810862200000E+01   1.682442982100000E-01   1.001870259800000E-01   4.679130451600000E-02   1.299822746800000E-01   2.686065247400000E+00   0.000000000000000E+00
   3.075648722100000E+01   1.682509346800000E-01   1.003222009500000E-01   4.688808841300000E-02   1.303993567500000E-01   2.686095011900000E+00   0.000000000000000E+00
   3.075469627400000E+01   1.682582630300000E-01   1.004516324800000E-01   4.698118817700000E-02   1.307992208700000E-01   2.686127890200000E+00   0.000000000000000E+00
   3.075200113100000E+01   1.682692871700000E-01   1.006210939700000E-01   4.710369626800000E-02   1.313231947600000E-01   2.686177370300000E+00   0.000000000000000E+00
   3.074794726600000E+01   1.682858597300000E-01   1.008393785600000E-01   4.726260972800000E-02   1.319993090700000E-01   2.686251801100000E+00   0.000000000000000E+00
   3.074347973200000E+01   1.683041105600000E-01   1.010473671600000E-01   4.741514034800000E-02   1.326444941200000E-01   2.686333835200000E+00   0.000000000000000E+00
   3.073855969300000E+01   1.683241943600000E-01   1.012501818700000E-01   4.756488847900000E-02   1.332743561800000E-01   2.686424188300000E+00   0.000000000000000E+00
   3.073117255300000E+01   1.683543182800000E-01   1.015195326700000E-01   4.776544761300000E-02   1.341123449100000E-01   2.686559867500000E+00   0.000000000000000E+00
   3.072304069200000E+01   1.683874365200000E-01   1.017821957500000E-01   4.796278438100000E-02   1.349307518100000E-01   2.686709252100000E+00   0.000000000000000E+00
   3.071409115600000E+01   1.684238333400000E-01   1.020423893200000E-01   4.815998889800000E-02   1.357427660400000E-01   2.686873690500000E+00   0.000000000000000E+00
   3.070066106900000E+01   1.684783508600000E-01   1.023924860300000E-01   4.842803645400000E-02   1.368368431700000E-01   2.687120519200000E+00   0.000000000000000E+00
   3.068588286000000E+01   1.685382006400000E-01   1.027376030300000E-01   4.869527988200000E-02   1.379178051600000E-01   2.687392214600000E+00   0.000000000000000E+00
   3.066962287700000E+01   1.686038818400000E-01   1.030822788500000E-01   4.896524766200000E-02   1.389986088600000E-01   2.687691261300000E+00   0.000000000000000E+00
   3.065173362000000E+01   1.686759394400000E-01   1.034297419900000E-01   4.924056963300000E-02   1.400897200500000E-01   2.688020405000000E+00   0.000000000000000E+00
   3.062489528500000E+01   1.687836417400000E-01   1.039045161400000E-01   4.962171843500000E-02   1.415819685100000E-01   2.688514462400000E+00   0.000000000000000E+00
   3.059536897800000E+01   1.689015747700000E-01   1.043788399900000E-01   5.000817011600000E-02   1.430756269100000E-01   2.689058362800000E+00   0.000000000000000E+00
