   0.000000000000000E+00   8.542874883500000E+02   9.977777523100000E-20   1.218714767300000E-21   2.908634440600000E-21   2.499949481400000E+03   2.351363701100000E+00   1.442148454700000E+01
   5.863173470900000E-04   8.542837295000000E+02   4.248577129900000E-06   1.546106460500000E-07   2.028166516000000E-07   2.499949454100000E+03   2.351195390100000E+00   1.442108162600000E+01
   1.464520596700000E-03   8.542780909099999E+02   1.061910262200000E-05   3.863986020900000E-07   5.070571802600000E-07   2.499949413100000E+03   2.350943040800000E+00   1.442047752300000E+01
   2.778975220200000E-03   8.542696322700000E+02   2.016966400000000E-05   7.337944330000000E-07   9.634545498700000E-07   2.499949445900000E+03   2.350569321400000E+00   1.441957199100000E+01
   4.744252300700000E-03   8.542569427900000E+02   3.448360583400000E-05   1.254241115300000E-06   1.648125347300000E-06   2.499949356100000E+03   2.350002391700000E+00   1.441821510600000E+01
   7.677878189100000E-03   8.542379050200000E+02   5.592795665100000E-05   2.033468872400000E-06   2.675306983300000E-06   2.499949221200000E+03   2.349153324300000E+00   1.441618293400000E+01
   1.204649787100000E-02   8.542093404900000E+02   8.803491609599999E-05   3.199092079500000E-06   4.216473754700000E-06   2.499948916700000E+03   2.347774541300000E+00   1.441314175000000E+01
   1.774203634700000E-02   8.541717102699999E+02   1.302073502100000E-04   4.728252552700000E-06   6.246724210100000E-06   2.499948641100000E+03   2.346109877700000E+00   1.440914976300000E+01
   2.337349984700000E-02   8.541340640200000E+02   1.722573683100000E-04   6.250894283000000E-06   8.277805484100000E-06   2.499948364600000E+03   2.344451311200000E+00   1.440517230600000E+01
   2.894210516000000E-02   8.540964020800000E+02   2.141857645400000E-04   7.767116430400000E-06   1.030971818800000E-05   2.499947153200000E+03   2.342897664500000E+00   1.440120927600000E+01
   3.444906307100000E-02   8.540587245600000E+02   2.559935308400000E-04   9.277023118899999E-06   1.234247296900000E-05   2.499946852300000E+03   2.341247955500000E+00   1.439726055200000E+01
   3.989552712100000E-02   8.540210317700000E+02   2.976814627400000E-04   1.078070925900000E-05   1.437607140800000E-05   2.499946550100000E+03   2.339604220200000E+00   1.439332603100000E+01
   4.528262406000000E-02   8.539833239700000E+02   3.392503787700000E-04   1.227826856500000E-05   1.641051661800000E-05   2.499947329000000E+03   2.337771638700000E+00   1.438940561000000E+01
   5.061146329100000E-02   8.539456013400001E+02   3.807011872300000E-04   1.376979602800000E-05   1.844581654600000E-05   2.499947050700000E+03   2.336135485900000E+00   1.438549917800000E+01
   5.588311262500000E-02   8.539078641200000E+02   4.220346911800000E-04   1.525538095600000E-05   2.048197442300000E-05   2.499946771400000E+03   2.334505190500000E+00   1.438160663100000E+01
   6.109862733300000E-02   8.538701124500000E+02   4.632518073100000E-04   1.673511491300000E-05   2.251899951300000E-05   2.499945052900000E+03   2.332897210300000E+00   1.437772785900000E+01
   6.625900214300000E-02   8.538323467100000E+02   5.043531792800001E-04   1.820907790900000E-05   2.455688800800000E-05   2.499944805000000E+03   2.331278664800000E+00   1.437386277600000E+01
   7.136523928800000E-02   8.537945670300001E+02   5.453397085100000E-04   1.967735751100000E-05   2.659564924700000E-05   2.499944556300000E+03   2.329665845900000E+00   1.437001127000000E+01
   7.641831134400000E-02   8.537567735500000E+02   5.862122558100000E-04   2.114003818200000E-05   2.863529101200000E-05   2.499945259700000E+03   2.328126631300000E+00   1.436617323800000E+01
   8.141914608000000E-02   8.537189665900000E+02   6.269715092800000E-04   2.259719662200000E-05   3.067581287700000E-05   2.499945001600000E+03   2.326533279200000E+00   1.436234858800000E+01
   8.636866806900000E-02   8.536811462900000E+02   6.676183145600000E-04   2.404891364700000E-05   3.271722267300000E-05   2.499944742700000E+03   2.324945494700000E+00   1.435853721900000E+01
   9.126775601300000E-02   8.536433129600000E+02   7.081533203300000E-04   2.549526156300000E-05   3.475951873400000E-05   2.499944768700000E+03   2.323274231100000E+00   1.435473904400000E+01
   9.611731535100000E-02   8.536054665299999E+02   7.485775726700000E-04   2.693632542800000E-05   3.680271982500000E-05   2.499944480400000E+03   2.321689447000000E+00   1.435095394100000E+01
   1.009181810900000E-01   8.535676073200000E+02   7.888917051300000E-04   2.837217420400000E-05   3.884682432900000E-05   2.499944191000000E+03   2.320110140800000E+00   1.434718182900000E+01
   1.056711739400000E-01   8.535297355900000E+02   8.290963947599999E-04   2.980287708500000E-05   4.089183314800000E-05   2.499943294200000E+03   2.318709006800000E+00   1.434342262000000E+01
   1.103771245000000E-01   8.534918513400000E+02   8.691925649400000E-04   3.122851074300000E-05   4.293776010600000E-05   2.499943035800000E+03   2.317147347200000E+00   1.433967620400000E+01
   1.150368138600000E-01   8.534539548200000E+02   9.091808781700000E-04   3.264914132100000E-05   4.498460614600000E-05   2.499942776600000E+03   2.315591020000000E+00   1.433594249800000E+01
   1.196510163600000E-01   8.534160462000000E+02   9.490620921600000E-04   3.406483714900000E-05   4.703237743000000E-05   2.499942894000000E+03   2.314069100600000E+00   1.433222140700000E+01
   1.242204820000000E-01   8.533781256500000E+02   9.888369051100001E-04   3.547566327700000E-05   4.908107743400000E-05   2.499942628500000E+03   2.312519824400000E+00   1.432851284400000E+01
   1.287459491300000E-01   8.533401933300000E+02   1.028506060600000E-03   3.688168524500000E-05   5.113071233200000E-05   2.499942362200000E+03   2.310975779600000E+00   1.432481671800000E+01
   1.332281478700000E-01   8.533022492800000E+02   1.068070374800000E-03   3.828297006900000E-05   5.318129244800000E-05   2.499941494200000E+03   2.309457634800000E+00   1.432113293000000E+01
